sentiment,content
vacío,escuchando bad habit comence asustarme parte
tristeza,acostado cama dolor cabeza ughh esperando llamada
tristeza,ceremonia funebreviernes sombrio
entusiasmo,quiere salir amigos pronto!
neutral,queremos intercambiar alguien boletos houston nadie hara
preocupación,volviendo preguntar baile graduacion? novio gustaban amigas
tristeza,deberia durmiendo estoy! pensando viejo amigo quiero ahora casado maldita quiere tambien! escandaloso!
preocupación,hmm diversionciona
tristeza,charlene amor extrano
tristeza,siento menos viernes?
neutral,puedo dormir
preocupación,atraganto retenedores
tristeza,uf! superar estupida cancion llegar siguiente grosera!
tristeza,si ves the hills londres daras cuenta tortura llevamos semanas semanas retraso solo veo linea jajaja
sorpresa,recibi noticia
tristeza,tormenta aqui electricidad ido
amor,acuerdo
tristeza,sueno vez siquiera tan tarde fallo vez mas
preocupación,lady gaga tuiteo impresiono filtrara video solo sepas
tristeza,convencida siempre querido? senales di? maldita creo acabo perder amigo
preocupación,lastima! espero mejore tambien problemas dormir ultimamente
diversión,pregunto despierto m escribiendo nueva cancion tramando malvados planes secretos muahahaha oh maldita secreto
neutral,charlas mapas tematicos conferencia balisage markup programa linea via topicmaps
preocupación,comi sigo contando cosas comida?
tristeza,cansado creo definitivamente voy tener infeccion oido voy dormir temprano vez
preocupación,camino casa encuentro dos chicas menores edad bebiendo ginebra autobus mientras hablan cervezas maldita siento viejo
tristeza,lamento gente tan grosera contigo isaac deberian tener mejores modales saber deben ser tan lascivos!
preocupación,maldita servidores siguen caidos necesito llegar nivel koxpers superen
tristeza,fudge acabo mentir articulo cansado uf odio escuela!
preocupación,odio cáncer odio odio odio
odio,tan molesto comienza escribir computadora medio noche!
neutral,puedo dormir
neutral,
neutral,fuertes contracciones quiere salir
neutral,socal! emocionado tal vez manana
neutral,jodan ! solo semanas
tristeza,si s siento raro dormido suficiente desperte madre cantando impresionada s tu?
preocupación,necesito skott ahora mismo
neutral,trabajo tarde
neutral,ah dejarias seguir? entonces lloraria
felicidad,mm mejor diahasta ahora! aun bastante temprano ultimo dia uds
diversión,lt seras primer twitter increible jajaja ven canada haria cualquier cosa verte actuar
preocupación,recien recogio blackberry medio calle! blackberry estan destrozados!
preocupación,sensacion deberia empacando partiendo rumbo sfo epoca ano? creo perdiendo
vacío,escuela media primaria escuelas secundarias permaneceran abiertas necesiten creditos graduarse cali quiebra
preocupación,cama!! hora espero ir escuela manana aunque siento bien ahora mismo
preocupación,ahh bueno esperaba poder aprender cosas camino trabajamos cosas separadas tambien?
tristeza,problema foto aqui twitter amf!! puedo ver cara!
neutral,oh noo! si reviento rueda realmente vas tener enviar humo batman
neutral,quiero tomar bano!!
neutral,leche chocolate mejor si bebe pajita falta pajita
preocupación,tan cansado?
vacío,hola pequeno cabron envie mensaje
neutral,diferencia horaria ocupado cosas dia dia asi twitteando hablamos pronto debo dormir levanto horas
neutral,ninguna manera! maldita apesta! b bien?
preocupación,fastidio poder tomarse dias libres trabajo tener dinero hacer viaje triste
